Năm,Giờ,Ttb,thứ,Tháng,Ngày,Tmin,Tmax,Lm,Angay_hc,Angay_hc,,,Pmax_hc,Amax_hc,Ptb,Atb,Pmax,Amax,A/2,Pmax,"Train, Valid, Test",,,,,,,,,,,
2017,15,26.0,2,4,10,20.3,32.4,0.01,86809,86809,,,5040,86809,502.93,253.87,761.6,380.80,380.80,783.1,,,,,,,,,,,,
2017,10,26.6,3,4,11,20.8,33.7,0.01,81489,81489,,,5212,81489,515.25,250.45,751.4,375.68,375.68,1935.4,,,,,,,,,,,,
2017,11,25.9,4,4,12,22.3,34.0,0.01,99023,99023,,,5932,99023,522.88,266.67,800.0,400.00,400.00,2292.0,,,,,,,,,,,,
2017,11,25.1,5,4,13,22.1,33.0,0.01,99697,99697,,,6328,99697,520.85,254.72,764.2,382.08,382.08,2711.1,,,,,,,,,,,,
2017,11,25.9,6,4,14,19.4,34.0,1,92464,92464,,,6606,92464,556.00,279.47,838.4,419.20,419.20,3204.4,,,,,,,,,,,,
2017,9,25.4,7,4,15,19.4,34.2,0.01,107579,107579,,,10874,107579,1245.47,2174.30,6522.9,3261.45,3261.45,3622.1,,,,,,,,,,,,
2017,17,24.3,8,4,16,16.3,34.0,0.01,120114,120114,,,7438,120114,1200.56,844.80,2534.4,1267.20,1267.20,2916.3,,,,,,,,,,,,
2017,18,24.8,2,4,17,18.3,32.5,0.01,132590,132590,,,7890,132590,2180.80,965.13,2895.4,1447.70,1447.70,4232.4,,,,,,,,,,,,
2017,17,26.6,3,4,18,21.5,33.5,0.01,142273,142273,,,8705,142273,2305.04,1076.90,3230.7,1615.35,1615.35,4338.7,,,,,,,,,,,,
2017,11,26.7,4,4,19,22.0,33.0,0.01,127051,127051,,,8366,127051,2194.88,975.77,2927.3,1463.65,1463.65,4061.7,,,,,,,,,,,,
2017,17,26.3,5,4,20,21.9,32.4,0.01,138243,138243,,,8585,138243,2249.09,997.97,2993.9,1496.95,1496.95,3736.6,,,,,,,,,,,,
2017,10,26.0,6,4,21,20.6,32.6,0.01,141000,141000,,,12553,141000,3459.20,3038.30,9114.9,4557.45,4557.45,3390.7,,,,,,,,,,,,
2017,10,24.3,7,4,22,22.0,34.2,6,110405,110405,,,9347,110405,2009.44,1142.20,3426.6,1713.30,1713.30,1832.2,,,,,,,,,,,,
2017,11,24.1,8,4,23,21.2,29.5,7,64134,64134,,,5672,64134,1035.17,615.27,1845.8,922.90,922.90,1380.9,,,,,,,,,,,,
2017,18,24.8,2,4,24,21.3,32.0,0.01,61492,61492,,,5081,61492,896.77,433.90,1301.7,650.85,650.85,1267.9,,,,,,,,,,,,
2017,19,25.4,3,4,25,21.7,31.0,2,62445,62445,,,4583,62445,912.88,421.53,1264.6,632.30,632.30,1249.3,,,,,,,,,,,,
2017,19,25.3,4,4,26,22.3,31.2,0.01,68193,68193,,,4708,68193,924.51,440.77,1322.3,661.15,661.15,1227.3,,,,,,,,,,,,
2017,10,25.1,5,4,27,22.0,32.1,0.01,59688,59688,,,3903,59688,901.95,389.97,1169.9,584.95,584.95,1202.4,,,,,,,,,,,,
2017,6,24.8,6,4,28,21.1,33.0,22,58808,58808,,,3607,58808,832.61,427.07,1281.2,640.60,640.60,1214.7,,,,,,,,,,,,
2017,6,22.8,7,4,29,21.1,29.2,2,59040,59040,,,3217,59040,855.15,402.80,1208.4,604.20,604.20,1209.4,,,,,,,,,,,,
2017,19,24.6,8,4,30,19.8,32.2,0.01,64176,64176,,,4306,64176,826.13,384.87,1154.6,577.30,577.30,1204.5,,,,,,,,,,,,
2017,19,26.6,2,5,1,22.4,32.2,0.01,61275,61275,,,4427,61275,841.68,399.37,1198.1,599.05,599.05,1211.1,,,,,,,,,,,,
2017,17,26.0,3,5,2,22.3,32.7,1,59630,59630,,,3893,59630,844.29,410.43,1231.3,615.65,615.65,1205.0,,,,,,,,,,,,
2017,19,26.3,4,5,3,22.2,31.2,4,60312,60312,,,4474,60312,828.56,418.13,1254.4,627.20,627.20,1192.7,,,,,,,,,,,,
2017,11,25.9,5,5,4,22.4,33.2,0.01,62362,62362,,,3777,62362,888.27,394.67,1184.0,592.00,592.00,1206.0,,,,,,,,,,,,
2017,6,24.4,6,5,5,22.1,31.3,11,63582,63582,,,3614,63582,890.24,395.93,1187.8,593.90,593.90,1254.6,,,,,,,,,,,,
2017,11,24.8,7,5,6,20.8,32.2,0.01,64401,64401,,,3540,64401,891.73,389.10,1167.3,583.65,583.65,1301.2,,,,,,,,,,,,
2017,11,25.2,8,5,7,19.6,31.7,0.01,59965,59965,,,3572,59965,880.05,389.97,1169.9,584.95,584.95,1306.6,,,,,,,,,,,,
2017,18,25.0,2,5,8,21.6,32.5,3,63932,63932,,,3538,63932,950.19,440.33,1321.0,660.50,660.50,1366.5,,,,,,,,,,,,
2017,17,24.6,3,5,9,21.6,32.1,18,63165,63165,,,3761,63165,1033.12,475.73,1427.2,713.60,713.60,1414.1,,,,,,,,,,,,
2017,6,25.9,4,5,10,21.8,31.4,1,68645,68645,,,3761,68645,1019.09,473.60,1420.8,710.40,710.40,1413.6,,,,,,,,,,,,
2017,6,25.4,5,5,11,22.1,31.1,0.01,53949,53949,,,4135,53949,897.07,398.07,1194.2,597.10,597.10,1422.3,,,,,,,,,,,,
2017,10,25.1,6,5,12,21.1,32.7,0.01,67693,67693,,,4443,67693,1059.71,489.80,1469.4,734.70,734.70,1464.6,,,,,,,,,,,,
2017,10,25.6,7,5,13,22.3,32.2,0.01,70038,70038,,,4449,70038,1083.97,519.67,1559.0,779.50,779.50,1433.6,,,,,,,,,,,,
2017,9,25.1,8,5,14,21.7,32.0,2,61964,61964,,,3645,61964,1032.77,474.90,1424.7,712.35,712.35,1395.4,,,,,,,,,,,,
2017,10,25.7,2,5,15,22.5,30.2,4,70791,70791,,,4275,70791,1010.32,488.10,1464.3,732.15,732.15,1359.1,,,,,,,,,,,,
2017,6,25.2,3,5,16,22.6,31.2,5,71131,71131,,,3759,71131,981.60,468.47,1405.4,702.70,702.70,1325.3,,,,,,,,,,,,
2017,6,23.8,4,5,17,23.1,26.3,21,69993,69993,,,3571,69993,959.95,438.17,1314.5,657.25,657.25,1273.3,,,,,,,,,,,,
2017,6,25.4,5,5,18,22.1,31.4,41,67217,67217,,,3667,67217,966.29,456.10,1368.3,684.15,684.15,1262.8,,,,,,,,,,,,
2017,6,25.4,6,5,19,22.4,29.5,6,72417,72417,,,3661,72417,958.21,414.30,1242.9,621.45,621.45,1275.6,,,,,,,,,,,,
2017,19,25.9,7,5,20,22.8,30.7,0.01,66368,66368,,,4493,66368,920.61,431.77,1295.3,647.65,647.65,1327.6,,,,,,,,,,,,
2017,19,25.8,8,5,21,23.1,31.0,1,72260,72260,,,3893,72260,891.65,381.87,1145.6,572.80,572.80,1337.6,,,,,,,,,,,,
2017,19,26.8,2,5,22,24.0,32.3,0.01,70026,70026,,,4359,70026,945.63,420.67,1262.0,631.00,631.00,1366.0,,,,,,,,,,,,
2017,17,25.8,3,5,23,23.1,31.2,0.01,64015,64015,,,4371,64015,785.76,477.43,1432.3,716.15,716.15,1365.5,,,,,,,,,,,,
2017,10,26.0,4,5,24,23.3,30.3,0.01,64225,64225,,,4032,64225,972.37,500.93,1502.8,751.40,751.40,1326.1,,,,,,,,,,,,
2017,11,24.4,5,5,25,22.4,30.2,34,62942,62942,,,3819,62942,928.51,448.43,1345.3,672.65,672.65,1266.4,,,,,,,,,,,,
2017,19,25.2,6,5,26,23.1,29.2,4,69875,69875,,,4162,69875,920.48,429.20,1287.6,643.80,643.80,1282.6,,,,,,,,,,,,
2017,19,25.2,7,5,27,22.1,29.4,15,62379,62379,,,4364,62379,895.20,419.87,1259.6,629.80,629.80,1298.4,,,,,,,,,,,,
2017,18,25.2,8,5,28,22.5,29.2,65,77276,77276,,,4098,77276,889.36,411.73,1235.2,617.60,617.60,1351.7,,,,,,,,,,,,
2017,17,25.0,2,5,29,22.9,29.2,9,79182,79182,,,4066,79182,956.61,401.50,1204.5,602.25,602.25,1375.0,,,,,,,,,,,,
2017,17,25.5,3,5,30,23.0,31.0,1,80736,80736,,,2809,80736,990.21,475.30,1425.9,712.95,712.95,1389.8,,,,,,,,,,,,
2017,17,26.2,4,5,31,23.1,31.3,1,71000,71000,,,3531,71000,0.00,455.67,1367.0,683.50,683.50,1359.1,,,,,,,,,,,,
2017,6,26.5,5,6,1,23.1,31.2,1,85920,85920,,,3530,85920,1039.28,508.60,1525.8,762.90,762.90,1354.0,,,,,,,,,,,,
2017,6,26.5,6,6,2,23.1,31.7,1,70922,70922,,,3580,70922,939.92,450.53,1351.6,675.80,675.80,1337.8,,,,,,,,,,,,
2017,19,26.1,7,6,3,23.3,30.0,0.01,62449,62449,,,4417,62449,894.48,426.23,1278.7,639.35,639.35,1348.1,,,,,,,,,,,,
2017,11,26.1,8,6,4,23.8,30.0,0.01,62153,62153,,,3582,62153,933.36,424.10,1272.3,636.15,636.15,1343.2,,,,,,,,,,,,
2017,19,25.9,2,6,5,22.5,30.6,0.01,64920,64920,,,4428,64920,950.52,447.17,1341.5,670.75,670.75,1348.4,,,,,,,,,,,,
2017,17,25.8,3,6,6,22.3,31.0,0.01,47230,47230,,,3872,47230,1035.41,481.70,1445.1,722.55,722.55,1478.6,,,,,,,,,,,,
2017,11,23.9,4,6,7,21.3,30.2,99,78421,78421,,,3691,78421,961.52,467.63,1402.9,701.45,701.45,1456.9,,,,,,,,,,,,
2017,6,24.6,5,6,8,21.6,29.5,14,62301,62301,,,3448,62301,883.36,418.13,1254.4,627.20,627.20,1445.4,,,,,,,,,,,,
2017,19,23.9,6,6,9,21.1,28.2,15,63537,63537,,,4313,63537,949.12,432.63,1297.9,648.95,648.95,1436.6,,,,,,,,,,,,
2017,6,24.0,7,6,10,22.5,27.5,9,47924,47924,,,4193,47924,790.03,664.30,1992.9,996.45,996.45,1427.9,,,,,,,,,,,,
2017,6,24.2,8,6,11,22.0,27.2,0.01,75469,75469,,,3385,75469,925.23,445.43,1336.3,668.15,668.15,1318.4,,,,,,,,,,,,
2017,10,24.8,2,6,12,23.3,28.3,11,76911,76911,,,3665,76911,891.57,448.43,1345.3,672.65,672.65,1349.4,,,,,,,,,,,,
